"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Not Hispanic or Latino:","Margin of Error!!Total:!!Not Hispanic or Latino:","Estimate!!Total:!!Not Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!White alone","Estimate!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Not Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Not Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Estimate!!Total:!!Hispanic or Latino:","Margin of Error!!Total:!!Hispanic or Latino:","Estimate!!Total:!!Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Hispanic or Latino:!!White alone","Estimate!!Total:!!Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"1400000US06013303201","Census Tract 3032.01, Contra Costa County, California","12171","844","9982","766","4565","537","2096","497","18","32","1919","470","681","613","15","24","688","390","79","114","609","386","2189","669","978","369","2","4","0","19","49","81","0","19","902","570","258","233","177","199","81","99"
"1400000US06013303202","Census Tract 3032.02, Contra Costa County, California","7439","646","5952","626","4140","505","595","185","0","17","498","202","0","17","0","17","719","389","0","17","719","389","1487","382","795","444","29","45","0","17","0","17","0","17","500","307","163","211","0","17","163","211"
"1400000US06013303203","Census Tract 3032.03, Contra Costa County, California","10070","560","7720","608","4904","367","910","433","110","144","1260","373","0","19","32","40","504","302","46","48","458","300","2350","345","1117","382","110","116","31","49","127","129","35","54","769","397","161","137","38","57","123","131"
"1400000US06013303204","Census Tract 3032.04, Contra Costa County, California","4751","406","3167","275","2450","278","316","189","0","12","210","143","13","23","0","12","178","100","13","19","165","104","1584","397","926","208","16","25","0","12","0","12","10","15","538","418","94","81","48","70","46","55"
"1400000US06013303205","Census Tract 3032.05, Contra Costa County, California","8931","497","7492","510","5739","427","286","117","0","17","585","180","179","239","35","72","668","280","18","29","650","283","1439","235","913","257","0","17","107","156","0","17","0","17","123","81","296","184","40","47","256","183"
"1400000US06013304001","Census Tract 3040.01, Contra Costa County, California","5272","357","4677","369","3235","354","528","140","0","17","675","181","0","17","18","33","221","160","0","17","221","160","595","104","298","136","0","17","0","17","0","17","0","17","197","92","100","70","19","24","81","67"
"1400000US06013304002","Census Tract 3040.02, Contra Costa County, California","1463","179","984","173","888","167","43","37","21","31","21","26","0","12","0","12","11","12","7","10","4","6","479","204","117","83","9","18","38","64","6","8","0","12","222","186","87","100","81","100","6","9"
"1400000US06013304003","Census Tract 3040.03, Contra Costa County, California","3793","286","3163","266","2809","261","95","107","6","10","234","190","0","12","10","16","9","14","0","12","9","14","630","254","332","96","0","12","0","12","0","12","0","12","223","204","75","69","64","68","11","16"
"1400000US06013304004","Census Tract 3040.04, Contra Costa County, California","4114","310","3650","281","3287","306","20","31","0","12","211","116","0","12","0","12","132","71","0","12","132","71","464","213","362","201","0","12","10","15","0","12","0","12","33","61","59","64","21","32","38","56"
"1400000US06013304005","Census Tract 3040.05, Contra Costa County, California","8766","722","6854","554","5243","457","687","223","0","17","536","231","0","17","15","26","373","211","0","17","373","211","1912","466","1443","381","0","17","151","239","87","133","32","45","57","45","142","100","59","71","83","77"
"1400000US06013305000","Census Tract 3050, Contra Costa County, California","6561","630","3738","764","1678","464","1235","616","62","68","612","473","0","17","0","17","151","92","0","17","151","92","2823","813","832","430","38","54","24","39","40","47","0","17","1728","816","161","134","11","21","150","127"
"1400000US06013306002","Census Tract 3060.02, Contra Costa County, California","3837","472","1867","279","1340","226","235","75","10","22","282","156","0","12","0","12","0","12","0","12","0","12","1970","594","1136","886","50","73","0","12","0","12","0","12","784","526","0","12","0","12","0","12"
"1400000US06013306003","Census Tract 3060.03, Contra Costa County, California","5193","482","2767","327","1741","352","440","299","64","69","265","205","0","17","28","45","229","162","56","78","173","159","2426","448","696","295","10","16","0","17","41","58","0","17","1515","493","164","145","87","104","77","80"
"1400000US06013306004","Census Tract 3060.04, Contra Costa County, California","3616","382","2825","480","1532","360","1079","379","0","12","40","41","0","12","10","19","164","106","0","12","164","106","791","339","230","148","42","55","6","10","0","12","0","12","432","291","81","77","71","78","10","17"
"1400000US06013307101","Census Tract 3071.01, Contra Costa County, California","4516","414","2717","240","2120","290","152","92","18","20","239","171","0","12","0","12","188","177","0","12","188","177","1799","353","909","354","0","12","31","45","0","12","0","12","570","320","289","165","213","120","76","102"
"1400000US06013307102","Census Tract 3071.02, Contra Costa County, California","5330","422","2545","419","1218","277","705","370","0","17","274","185","35","52","14","23","299","198","0","17","299","198","2785","636","981","350","16","24","34","54","0","17","0","17","1463","605","291","121","66","58","225","87"
"1400000US06013307201","Census Tract 3072.01, Contra Costa County, California","3803","422","1845","348","1069","276","188","188","0","12","235","140","0","12","0","12","353","232","0","12","353","232","1958","338","547","303","0","12","0","12","26","24","0","12","1235","378","150","133","0","12","150","133"
"1400000US06013307202","Census Tract 3072.02, Contra Costa County, California","4299","357","2789","394","575","182","1660","348","9","14","95","85","55","67","61","70","334","211","0","12","334","211","1510","453","334","183","48","61","0","12","0","12","0","12","1084","445","44","41","36","40","8","14"
"1400000US06013307204","Census Tract 3072.04, Contra Costa County, California","4386","334","2454","304","1247","203","633","235","10","16","462","170","0","12","16","27","86","57","12","19","74","52","1932","326","962","269","0","12","211","298","0","12","0","12","526","288","233","286","220","286","13","16"
"1400000US06013307205","Census Tract 3072.05, Contra Costa County, California","7557","758","5673","808","1809","434","2599","870","11","19","788","525","33","43","0","17","433","298","0","17","433","298","1884","592","718","276","148","209","0","17","57","63","0","17","732","534","229","257","174","252","55","67"
"1400000US06013308001","Census Tract 3080.01, Contra Costa County, California","7653","706","5086","772","3067","336","1283","367","40","57","288","218","13","30","0","17","395","421","12","25","383","413","2567","469","830","361","10","20","0","17","55","96","39","46","1224","508","409","300","389","300","20","34"
"1400000US06013308002","Census Tract 3080.02, Contra Costa County, California","4472","389","3354","379","1411","436","761","213","0","12","1057","263","0","12","18","28","107","75","5","9","102","74","1118","164","371","164","0","12","0","12","29","36","0","12","351","218","367","202","325","206","42","41"
"1400000US06013309000","Census Tract 3090, Contra Costa County, California","3546","324","2369","293","910","214","888","232","0","12","379","98","0","12","0","12","192","145","7","15","185","144","1177","194","542","231","52","76","0","12","43","47","0","12","479","230","61","42","51","41","10","15"
"1400000US06013310000","Census Tract 3100, Contra Costa County, California","6257","651","2580","312","720","203","1093","218","0","17","304","151","22","35","0","17","441","164","5","37","436","169","3677","689","1178","453","0","17","84","139","10","15","0","17","2218","640","187","96","85","66","102","88"
"1400000US06013311000","Census Tract 3110, Contra Costa County, California","5329","467","2539","265","702","239","847","300","37","54","703","304","0","17","0","17","250","125","0","17","250","125","2790","423","902","348","93","97","16","24","57","64","0","17","971","320","751","302","441","226","310","252"
"1400000US06013312000","Census Tract 3120, Contra Costa County, California","2243","263","1210","200","186","82","754","139","10","23","166","65","0","12","0","12","94","57","0","12","94","57","1033","274","360","154","0","12","27","39","0","12","0","12","510","291","136","107","57","50","79","77"
"1400000US06013313101","Census Tract 3131.01, Contra Costa County, California","7178","548","3952","470","1737","364","884","185","11","19","844","201","0","17","0","17","476","286","16","29","460","284","3226","492","1233","642","0","17","85","128","52","77","0","17","1542","552","314","259","118","102","196","239"
"1400000US06013313102","Census Tract 3131.02, Contra Costa County, California","4595","405","2937","380","694","126","1330","365","0","12","629","269","85","105","0","12","199","162","82","140","117","86","1658","436","540","209","11","19","25","42","10","17","0","12","811","437","261","210","216","200","45","67"
"1400000US06013313103","Census Tract 3131.03, Contra Costa County, California","8866","694","6165","640","2773","462","1296","445","0","17","1475","363","84","88","51","92","486","240","0","17","486","240","2701","458","1464","530","101","110","37","58","8","14","0","17","829","372","262","240","216","236","46","53"
"1400000US06013313203","Census Tract 3132.03, Contra Costa County, California","3456","310","1780","238","825","107","185","111","5","8","361","137","33","56","256","255","115","60","6","9","109","57","1676","263","435","143","5","7","18","19","17","22","0","12","1083","303","118","69","72","59","46","49"
"1400000US06013313204","Census Tract 3132.04, Contra Costa County, California","5538","399","3177","372","1438","252","757","221","1","4","624","143","0","17","0","17","357","322","0","17","357","322","2361","406","1136","497","0","17","29","44","0","17","0","17","1115","450","81","76","29","28","52","61"
"1400000US06013313205","Census Tract 3132.05, Contra Costa County, California","1696","128","973","121","331","83","220","139","0","12","309","63","0","12","0","12","113","52","0","12","113","52","723","122","242","103","0","12","47","69","0","12","0","12","415","169","19","18","19","18","0","12"
"1400000US06013313206","Census Tract 3132.06, Contra Costa County, California","6377","561","2443","452","724","257","833","239","0","17","587","165","120","142","0","17","179","135","0","17","179","135","3934","685","1223","557","65","106","39","66","18","30","13","19","2388","560","188","164","159","157","29","38"
"1400000US06013314102","Census Tract 3141.02, Contra Costa County, California","6561","384","3051","380","1129","227","655","273","20","21","842","256","51","59","40","60","314","291","0","17","314","291","3510","473","1002","409","0","17","59","98","40","53","0","17","2175","582","234","167","116","78","118","144"
"1400000US06013314103","Census Tract 3141.03, Contra Costa County, California","5629","545","2212","323","598","176","908","214","6","10","527","112","0","17","0","17","173","135","0","17","173","135","3417","475","1304","416","0","17","6","11","0","17","0","17","1875","542","232","117","107","76","125","100"
"1400000US06013314104","Census Tract 3141.04, Contra Costa County, California","9278","773","3216","917","911","356","1003","795","71","73","854","461","0","17","0","17","377","341","0","17","377","341","6062","930","2010","844","0","17","104","152","0","17","0","17","3581","844","367","315","243","276","124","177"
"1400000US06013314200","Census Tract 3142, Contra Costa County, California","7748","685","1569","251","836","208","49","63","9","14","427","188","110","163","19","29","119","117","55","91","64","75","6179","664","1988","757","0","17","13","21","34","57","0","17","3710","669","434","338","424","338","10","16"
"1400000US06013315000","Census Tract 3150, Contra Costa County, California","3862","276","2874","337","1463","398","509","255","122","117","575","240","79","70","38","39","88","57","0","12","88","57","988","284","285","159","80","99","0","12","6","14","0","12","369","208","248","190","99","117","149","157"
