"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Not Hispanic or Latino:","Margin of Error!!Total:!!Not Hispanic or Latino:","Estimate!!Total:!!Not Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!White alone","Estimate!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Not Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Not Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Estimate!!Total:!!Hispanic or Latino:","Margin of Error!!Total:!!Hispanic or Latino:","Estimate!!Total:!!Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Hispanic or Latino:!!White alone","Estimate!!Total:!!Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"1500000US060014231003","Block Group 3, Census Tract 4231, Alameda County, California","930","212","817","202","408","141","179","111","0","12","157","107","0","12","0","12","73","64","0","12","73","64","113","90","14","15","0","12","0","12","0","12","0","12","31","44","68","75","48","72","20","22"
"1500000US060014231004","Block Group 4, Census Tract 4231, Alameda County, California","716","159","579","127","432","130","43","33","0","12","80","61","0","12","0","12","24","24","0","12","24","24","137","103","117","110","0","12","0","12","0","12","0","12","9","13","11","15","11","15","0","12"
"1500000US060014232001","Block Group 1, Census Tract 4232, Alameda County, California","1360","392","872","224","409","153","247","136","0","12","118","68","80","110","0","12","18","24","0","12","18","24","488","299","284","223","12","21","0","12","0","12","0","12","34","41","158","167","8","14","150","166"
"1500000US060014232002","Block Group 2, Census Tract 4232, Alameda County, California","1622","397","1299","344","503","126","422","301","0","12","99","74","23","32","0","12","252","109","0","12","252","109","323","225","106","85","0","12","18","28","0","12","0","12","199","215","0","12","0","12","0","12"
"1500000US060014233001","Block Group 1, Census Tract 4233, Alameda County, California","932","203","779","204","340","114","246","123","0","12","128","111","0","12","0","12","65","70","0","12","65","70","153","78","94","62","0","12","0","12","0","12","0","12","59","62","0","12","0","12","0","12"
"1500000US060014233002","Block Group 2, Census Tract 4233, Alameda County, California","1493","264","1366","245","595","218","381","161","0","12","194","83","0","12","0","12","196","99","9","15","187","99","127","107","34","40","23","33","19","23","0","12","0","12","0","12","51","60","0","12","51","60"
"1500000US060014233003","Block Group 3, Census Tract 4233, Alameda County, California","1079","256","919","226","621","170","266","183","3","7","11","19","0","12","0","12","18","20","0","12","18","20","160","142","28","23","0","12","0","12","0","12","0","12","30","37","102","136","102","136","0","12"
"1500000US060014234001","Block Group 1, Census Tract 4234, Alameda County, California","856","244","783","241","450","170","38","48","0","12","174","156","0","12","0","12","121","88","0","12","121","88","73","88","62","86","0","12","0","12","0","12","0","12","11","18","0","12","0","12","0","12"
"1500000US060014234002","Block Group 2, Census Tract 4234, Alameda County, California","949","291","801","277","377","127","62","77","0","12","78","82","0","12","0","12","284","269","0","12","284","269","148","124","114","120","0","12","0","12","0","12","0","12","7","12","27","48","27","48","0","12"
"1500000US060014234003","Block Group 3, Census Tract 4234, Alameda County, California","1845","414","1598","373","1159","288","289","143","0","12","117","122","0","12","0","12","33","37","0","12","33","37","247","137","120","108","0","12","0","12","0","12","0","12","92","81","35","52","35","52","0","12"
"1500000US060014234004","Block Group 4, Census Tract 4234, Alameda County, California","1513","417","1217","342","562","199","320","293","0","12","260","173","0","12","0","12","75","93","0","12","75","93","296","170","52","94","0","12","0","12","0","12","0","12","144","160","100","100","0","12","100","100"
"1500000US060014235001","Block Group 1, Census Tract 4235, Alameda County, California","1379","223","1214","219","693","181","182","132","0","12","269","120","4","8","14","22","52","43","0","12","52","43","165","77","59","54","0","12","0","12","0","12","0","12","89","64","17","19","9","14","8","12"
"1500000US060014235002","Block Group 2, Census Tract 4235, Alameda County, California","1000","202","869","229","379","118","337","223","0","12","78","56","0","12","0","12","75","62","0","12","75","62","131","76","33","37","23","35","9","13","0","12","0","12","9","13","57","44","32","35","25","27"
"1500000US060014235003","Block Group 3, Census Tract 4235, Alameda County, California","1047","204","856","177","556","140","173","113","0","12","112","59","7","11","0","12","8","12","0","12","8","12","191","115","113","81","0","12","0","12","32","47","0","12","0","12","46","44","15","23","31","38"
"1500000US060014236011","Block Group 1, Census Tract 4236.01, Alameda County, California","1425","199","1277","174","1025","174","50","39","0","12","110","62","0","12","27","43","65","43","0","12","65","43","148","98","36","28","0","12","0","12","0","12","0","12","67","88","45","34","14","21","31","27"
"1500000US060014236012","Block Group 2, Census Tract 4236.01, Alameda County, California","1246","218","1161","220","854","204","88","80","17","25","136","60","0","12","0","12","66","47","0","12","66","47","85","48","67","45","0","12","0","12","9","15","0","12","9","13","0","12","0","12","0","12"
"1500000US060014236021","Block Group 1, Census Tract 4236.02, Alameda County, California","1758","454","1650","418","772","228","73","62","0","12","692","343","0","12","0","12","113","82","0","12","113","82","108","91","89","86","0","12","0","12","0","12","0","12","19","31","0","12","0","12","0","12"
"1500000US060014236022","Block Group 2, Census Tract 4236.02, Alameda County, California","2085","572","1693","466","576","317","0","12","46","38","947","344","31","50","0","12","93","126","0","12","93","126","392","232","139","88","0","12","14","40","0","12","0","12","155","166","84","111","65","108","19","31"
"1500000US060014236023","Block Group 3, Census Tract 4236.02, Alameda County, California","2685","1107","2614","1102","1739","903","11","26","53","79","666","259","0","12","0","12","145","108","0","12","145","108","71","60","60","57","0","12","0","12","0","12","0","12","11","19","0","12","0","12","0","12"
"1500000US060014237001","Block Group 1, Census Tract 4237, Alameda County, California","2131","556","1893","486","1207","318","48","43","6","8","518","202","0","12","0","12","114","65","2","4","112","64","238","98","139","77","0","12","23","36","13","24","0","12","47","34","16","14","13","14","3","3"
"1500000US060014237002","Block Group 2, Census Tract 4237, Alameda County, California","968","228","887","210","760","185","0","12","0","12","106","88","0","12","0","12","21","23","0","12","21","23","81","49","81","49","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1500000US060014237003","Block Group 3, Census Tract 4237, Alameda County, California","1049","264","930","260","580","189","47","71","0","12","200","114","22","34","0","12","81","54","0","12","81","54","119","75","95","72","0","12","0","12","0","12","0","12","24","25","0","12","0","12","0","12"
"1500000US060014238001","Block Group 1, Census Tract 4238, Alameda County, California","603","163","572","151","458","137","71","67","0","12","34","30","0","12","9","14","0","12","0","12","0","12","31","36","31","36","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1500000US060014238002","Block Group 2, Census Tract 4238, Alameda County, California","1057","192","964","186","889","175","0","12","0","12","33","30","0","12","0","12","42","57","0","12","42","57","93","62","93","62","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1500000US060014238003","Block Group 3, Census Tract 4238, Alameda County, California","1326","242","1260","247","1025","176","0","12","0","12","144","78","0","12","0","12","91","79","0","12","91","79","66","52","66","52","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1500000US060014239011","Block Group 1, Census Tract 4239.01, Alameda County, California","1069","239","972","206","776","217","86","62","0","12","74","38","0","12","17","28","19","25","0","12","19","25","97","62","76","52","6","8","0","12","0","12","0","12","0","12","15","23","15","23","0","12"
"1500000US060014239012","Block Group 2, Census Tract 4239.01, Alameda County, California","985","261","796","253","513","166","133","110","7","12","113","69","0","12","0","12","30","26","0","12","30","26","189","75","59","42","5","7","12","13","0","12","0","12","39","42","74","45","29","24","45","34"
"1500000US060014239021","Block Group 1, Census Tract 4239.02, Alameda County, California","635","105","609","107","405","74","17","14","0","12","141","71","0","12","0","12","46","39","6","9","40","38","26","26","12","15","0","12","0","12","0","12","0","12","0","12","14","22","0","12","14","22"
"1500000US060014239022","Block Group 2, Census Tract 4239.02, Alameda County, California","970","109","900","106","730","112","30","24","0","12","107","61","0","12","2","5","31","25","0","12","31","25","70","40","25","18","9","11","0","12","0","12","0","12","14","17","22","28","0","12","22","28"
"1500000US060014240011","Block Group 1, Census Tract 4240.01, Alameda County, California","1105","238","945","230","488","160","266","133","0","12","115","99","12","17","0","12","64","43","0","12","64","43","160","121","41","63","0","12","12","18","0","12","0","12","107","116","0","12","0","12","0","12"
"1500000US060014240012","Block Group 2, Census Tract 4240.01, Alameda County, California","907","270","795","229","469","200","251","135","2","3","18","21","0","12","28","42","27","36","27","36","0","12","112","92","29","30","21","34","0","12","0","12","0","12","27","30","35","42","15","25","20","34"
"1500000US060014240013","Block Group 3, Census Tract 4240.01, Alameda County, California","1005","233","743","197","531","174","113","68","0","12","43","34","0","12","17","26","39","36","11","21","28","31","262","155","25","33","0","12","0","12","10","15","0","12","227","148","0","12","0","12","0","12"
"1500000US060014240014","Block Group 4, Census Tract 4240.01, Alameda County, California","1010","202","888","188","398","133","262","137","11","25","160","95","0","12","20","30","37","32","0","12","37","32","122","91","18","19","0","12","0","12","0","12","0","12","82","84","22","25","22","25","0","12"
"1500000US060014240021","Block Group 1, Census Tract 4240.02, Alameda County, California","1498","260","1211","217","395","113","581","187","14","19","177","91","0","12","0","12","44","25","0","12","44","25","287","96","75","64","0","12","1","2","5","8","0","12","180","93","26","22","8","12","18","17"
"1500000US060014240022","Block Group 2, Census Tract 4240.02, Alameda County, California","1085","282","786","183","312","102","287","105","0","12","90","53","0","12","5","7","92","51","0","12","92","51","299","205","16","18","19","31","6","10","0","12","0","12","224","204","34","34","14","15","20","31"
"1500000US060014251011","Block Group 1, Census Tract 4251.01, Alameda County, California","1354","135","1293","143","848","146","58","45","5","8","271","82","8","13","0","12","103","67","41","53","62","40","61","47","51","45","0","12","0","12","0","12","0","12","0","12","10","15","10","15","0","12"
